    51/499     1.44G    0.0397   0.03725         0   0.07694        29       416    0.6235    0.8062    0.8308    0.5087   0.04223   0.01633         0
    52/499     1.44G   0.03952   0.03683         0   0.07635        31       416    0.6344    0.8243    0.8367    0.5135   0.04165   0.01645         0
    53/499     1.44G   0.03886   0.03668         0   0.07554        40       416    0.6234     0.832    0.8393    0.5181   0.04121   0.01635         0
    54/499     1.44G   0.03877   0.03635         0   0.07512        42       416    0.6297    0.8295    0.8458     0.524   0.04111   0.01621         0
    55/499     1.44G   0.03855    0.0362         0   0.07475        33       416    0.6663    0.8243    0.8396    0.5076   0.04243   0.01628         0
    56/499     1.44G   0.03849    0.0364         0    0.0749        31       416    0.6523    0.8295    0.8438    0.5179   0.04181   0.01635         0
    57/499     1.44G   0.03835   0.03633         0   0.07468        33       416    0.6225    0.8346     0.843    0.5267   0.04142   0.01617         0
    58/499     1.44G   0.03859   0.03682         0   0.07541        35       416    0.6619    0.8297    0.8495    0.5287   0.04131   0.01601         0
    59/499     1.44G    0.0382    0.0362         0    0.0744        35       416    0.6625    0.8372    0.8452    0.5224   0.04087   0.01603         0
    60/499     1.44G   0.03817   0.03601         0   0.07418        29       416    0.6588    0.8269    0.8451     0.541   0.04088   0.01593         0
    61/499     1.44G   0.03817   0.03621         0   0.07438        31       416    0.6591     0.832    0.8438    0.5341   0.04036   0.01589         0
    62/499     1.44G    0.0376   0.03574         0   0.07334        38       416    0.6707    0.8398    0.8519    0.5347   0.04049   0.01578         0
    63/499     1.44G   0.03785   0.03607         0   0.07392        35       416    0.6752     0.845     0.858    0.5343   0.04041   0.01579         0
    64/499     1.44G   0.03792   0.03567         0   0.07359        32       416    0.6574     0.832     0.854     0.535   0.04036   0.01592         0
    65/499     1.44G   0.03775   0.03552         0   0.07326        31       416    0.6665     0.832    0.8518    0.5392   0.04023   0.01595         0
    66/499     1.44G    0.0375   0.03537         0   0.07287        35       416    0.6642    0.8243    0.8459    0.5384   0.04055   0.01579         0
